crop,stage,start_day,end_day,irrigation,irrigation_frequency,critical_irrigation,irrigation_stop_rule,fertilizer,fertilizer_dose,fertilizer_method,organic_management,disease_protection,pest_protection,weather_sensitivity
Wheat,Sowing & Germination,0,15,Light irrigation at sowing to ensure uniform moisture.,Light irrigation at sowing; adjust according to soil moisture and weather.,Establishment moisture is important.,,Basal: 50 kg DAP + 25 kg MOP + 10 kg Zinc Sulphate per acre.,50 kg DAP + 25 kg MOP + 10 kg Zinc Sulphate per acre.,Basal application.,10 tons FYM + 10 kg Azotobacter.,Seed treatment: Thiram 2.5 g/kg OR Trichoderma viride 10 g/kg to prevent root rot.,Monitor seedlings for early pest and disease symptoms.,Avoid excessive moisture and waterlogging during establishment.
Wheat,Crown Root Initiation (CRI),20,25,1st critical irrigation; water depth approximately 4–5 cm.,Critical irrigation at CRI.,CRI irrigation is a critical water requirement.,,Top-dress 45 kg Urea.,45 kg Urea per acre.,Top dressing.,200 L/acre Jeevamrut.,Monitor crop for early disease symptoms.,"Weeds: Clodinafop-propargyl for grassy weeds; 2,4-D for broadleaf weeds.",Delay irrigation if significant rainfall is expected or soil moisture is already adequate.
Wheat,Tillering & Jointing,40,45,2nd irrigation.,Irrigate according to crop requirement and soil moisture.,Maintain adequate moisture during tillering and jointing.,,Top-dress 45 kg Urea.,45 kg Urea per acre.,Top dressing.,3% Panchagavya spray.,Rust/Blight: Propiconazole 25% EC (200 ml/acre) as specified.,"Monitor for rust, blight and other pest symptoms.",High humidity and prolonged leaf wetness can increase disease risk.
Wheat,Booting & Flowering,60,65,3rd irrigation; critical for spikelet development.,Critical irrigation during booting/flowering.,Important for spikelet development.,,1 kg NPK 0-52-34 + Boron 100 g per acre.,1 kg NPK 0-52-34 + 100 g Boron per acre.,Foliar spray.,,Monitor crop closely for disease development during flowering.,Aphids: Imidacloprid 17.8% SL (50 ml/acre) or Neem oil spray (1.5 L/acre).,Avoid unnecessary irrigation before rainfall; monitor humidity and wind conditions.
Wheat,Milking Stage,80,85,4th irrigation; light watering and avoid high winds.,Light irrigation according to soil moisture.,Maintain moisture during grain filling.,,1 kg NPK 0-0-50 for grain filling.,1 kg NPK 0-0-50.,Foliar spray.,,Continue monitoring crop health.,Termites: Chlorpyrifos 20% EC with irrigation water if present.,Avoid irrigation during high winds.
Wheat,Dough & Maturity,100,120,5th irrigation around Day 100–105.,Final irrigation according to crop and soil condition.,,Stop all water 15 days before harvest.,No fertilizer required.,,,,Monitor for loose smut; no chemical sprays close to harvest.,Continue field monitoring until harvest.,Avoid late irrigation close to harvest.
Rice,Nursery & Transplanting,0,15,Maintain 2–3 cm shallow standing water for seedling establishment.,Maintain shallow standing water.,Establishment moisture.,,Basal: 50 kg DAP + 25 kg MOP + 10 kg Zinc Sulphate (33%).,50 kg DAP + 25 kg MOP + 10 kg Zinc Sulphate per acre.,Basal application.,5 tons Vermicompost.,Dip root tips in Pseudomonas fluorescens 10 g/L for bacterial leaf blight protection.,Monitor nursery and newly transplanted crop.,Avoid excessive flooding during establishment.
Rice,Active Tillering,20,35,Maintain alternate wetting and drying (AWD) or 2–3 cm water.,Maintain suitable water level using AWD or shallow standing water.,Maintain adequate moisture for active tillering.,,Top-dress 30 kg Urea per acre.,30 kg Urea per acre.,Top dressing.,Drench 200 L Jeevamrut.,Monitor for early rice diseases.,Stem Borer: Cartap Hydrochloride 4G (5 kg/acre) or Chlorantraniliprole 0.4% G.,Avoid unnecessary irrigation before significant rainfall.
Rice,Panicle Initiation,60,65,Maintain approximately 5 cm standing water; do not allow soil to dry.,Maintain standing water during panicle initiation.,Critical water requirement at panicle initiation.,,Top-dress 20 kg Urea + 15 kg MOP (Potash).,20 kg Urea + 15 kg MOP per acre.,Top dressing.,5% Vermiwash spray.,"Sheath Blight / Blast: Hexaconazole 5% EC (300 ml) or Tricyclazole 75% WP (120 g), as specified.",Monitor crop for stem borer and hopper activity.,High humidity and prolonged wetness can increase disease risk.
Rice,Flowering & Heading,80,85,Keep soil saturated with 3–5 cm water.,Maintain adequate moisture during flowering and heading.,Avoid moisture stress during flowering.,,Spray 1 kg NPK 0-52-34 per acre.,1 kg NPK 0-52-34 per acre.,Foliar spray.,,Monitor flowering crop for blast and sheath-related symptoms.,BPH: Pymetrozine 50% WDG (120 g) or Dinotefuran 20% SG.,Monitor high humidity and prolonged wet conditions.
