State,District,Season,Soil_Type,Min_pH,Max_pH,Primary_Recommended_Crops,lookup_key
Andhra Pradesh,Alluri Sitharama Raju,Kharif,Red Sandy Clay Loam / Forest Soil,5.5,6.8,"Paddy, Coffee, Millets (Ragi, Samai), Rajma, Turmeric",andhra pradesh|alluri sitharama raju|kharif|red sandy clay loam / forest soil
Andhra Pradesh,Alluri Sitharama Raju,Rabi,Red Sandy Clay Loam / Forest Soil,5.5,6.8,"Niger, Rajma, Maize, Pulses, Mustard",andhra pradesh|alluri sitharama raju|rabi|red sandy clay loam / forest soil
Andhra Pradesh,Alluri Sitharama Raju,Zaid,Red Sandy Clay Loam / Forest Soil,5.5,6.8,"Vegetables, Cowpea, Fruits (Pineapple, Papaya), Fodder Crops",andhra pradesh|alluri sitharama raju|zaid|red sandy clay loam / forest soil
Andhra Pradesh,Anakapalli,Kharif,Red Loam / Laterite Soil,6.2,7.5,"Sugarcane, Paddy, Groundnut, Sesamum",andhra pradesh|anakapalli|kharif|red loam / laterite soil
Andhra Pradesh,Anakapalli,Rabi,Red Loam / Laterite Soil,6.2,7.5,"Blackgram, Greengram, Maize, Groundnut",andhra pradesh|anakapalli|rabi|red loam / laterite soil
Andhra Pradesh,Anakapalli,Zaid,Red Loam / Laterite Soil,6.2,7.5,"Sesamum, Watermelon, Vegetables, Cowpea",andhra pradesh|anakapalli|zaid|red loam / laterite soil
Andhra Pradesh,Ananthapuramu,Kharif,Red Sandy Soil / Shallow Red Soil,6.8,8.2,"Groundnut, Redgram (Pigeonpea), Sorghum (Jowar), Bajra, Cotton",andhra pradesh|ananthapuramu|kharif|red sandy soil / shallow red soil
Andhra Pradesh,Ananthapuramu,Rabi,Red Sandy Soil / Shallow Red Soil,6.8,8.2,"Bengal Gram (Chickpea), Groundnut, Sunflower, Coriander",andhra pradesh|ananthapuramu|rabi|red sandy soil / shallow red soil
Andhra Pradesh,Ananthapuramu,Zaid,Red Sandy Soil / Shallow Red Soil,6.8,8.2,"Muskmelon, Watermelon, Fodder Sorghum, Vegetables",andhra pradesh|ananthapuramu|zaid|red sandy soil / shallow red soil
Andhra Pradesh,Annamayya,Kharif,Red Sandy Loam / Mixed Soil,6.5,7.8,"Groundnut, Tomato, Redgram, Paddy, Sugarcane",andhra pradesh|annamayya|kharif|red sandy loam / mixed soil
Andhra Pradesh,Annamayya,Rabi,Red Sandy Loam / Mixed Soil,6.5,7.8,"Bengal Gram, Groundnut, Sunflower, Maize",andhra pradesh|annamayya|rabi|red sandy loam / mixed soil
Andhra Pradesh,Annamayya,Zaid,Red Sandy Loam / Mixed Soil,6.5,7.8,"Watermelon, Vegetables, Muskmelon, Fodder Crops",andhra pradesh|annamayya|zaid|red sandy loam / mixed soil
Andhra Pradesh,Bapatla,Kharif,Coastal Alluvial / Heavy Black Clay,6.8,8.0,"Paddy, Cotton, Blackgram, Groundnut",andhra pradesh|bapatla|kharif|coastal alluvial / heavy black clay
Andhra Pradesh,Bapatla,Rabi,Coastal Alluvial / Heavy Black Clay,6.8,8.0,"Blackgram, Greengram, Maize, Tobacco, Chillies",andhra pradesh|bapatla|rabi|coastal alluvial / heavy black clay
Andhra Pradesh,Bapatla,Zaid,Coastal Alluvial / Heavy Black Clay,6.8,8.0,"Watermelon, Cucurbits, Sesamum, Fodder Maize",andhra pradesh|bapatla|zaid|coastal alluvial / heavy black clay
Andhra Pradesh,Chittoor,Kharif,Red Sandy Loam / Gravelly Soil,6.2,7.6,"Groundnut, Sugarcane, Paddy, Mango, Redgram",andhra pradesh|chittoor|kharif|red sandy loam / gravelly soil
Andhra Pradesh,Chittoor,Rabi,Red Sandy Loam / Gravelly Soil,6.2,7.6,"Groundnut, Maize, Vegetables, Pulses",andhra pradesh|chittoor|rabi|red sandy loam / gravelly soil
Andhra Pradesh,Chittoor,Zaid,Red Sandy Loam / Gravelly Soil,6.2,7.6,"Vegetables, Watermelon, Cowpea, Fodder Crops",andhra pradesh|chittoor|zaid|red sandy loam / gravelly soil
Andhra Pradesh,East Godavari,Kharif,Deltaic Alluvial / Clay Loam,6.0,7.5,"Paddy, Sugarcane, Maize, Banana",andhra pradesh|east godavari|kharif|deltaic alluvial / clay loam
Andhra Pradesh,East Godavari,Rabi,Deltaic Alluvial / Clay Loam,6.0,7.5,"Paddy (Rabi), Blackgram, Greengram, Maize",andhra pradesh|east godavari|rabi|deltaic alluvial / clay loam
Andhra Pradesh,East Godavari,Zaid,Deltaic Alluvial / Clay Loam,6.0,7.5,"Sesamum, Cowpea, Watermelon, Vegetables",andhra pradesh|east godavari|zaid|deltaic alluvial / clay loam
Andhra Pradesh,Eluru,Kharif,Fertile Alluvial / Black Clay Loam,6.2,7.8,"Paddy, Sugarcane, Maize, Oil Palm, Cocoa",andhra pradesh|eluru|kharif|fertile alluvial / black clay loam
Andhra Pradesh,Eluru,Rabi,Fertile Alluvial / Black Clay Loam,6.2,7.8,"Maize, Tobacco, Blackgram, Greengram, Sunflower",andhra pradesh|eluru|rabi|fertile alluvial / black clay loam
Andhra Pradesh,Eluru,Zaid,Fertile Alluvial / Black Clay Loam,6.2,7.8,"Sesamum, Watermelon, Cucurbits, Vegetables",andhra pradesh|eluru|zaid|fertile alluvial / black clay loam
Andhra Pradesh,Guntur,Kharif,Deep Black Cotton Soil (Vertisols),7.2,8.5,"Cotton, Chillies, Paddy, Turmeric, Redgram",andhra pradesh|guntur|kharif|deep black cotton soil (vertisols)
Andhra Pradesh,Guntur,Rabi,Deep Black Cotton Soil (Vertisols),7.2,8.5,"Blackgram, Greengram, Tobacco, Maize, Bengal Gram",andhra pradesh|guntur|rabi|deep black cotton soil (vertisols)
Andhra Pradesh,Guntur,Zaid,Deep Black Cotton Soil (Vertisols),7.2,8.5,"Sesamum, Watermelon, Vegetables, Fodder Crops",andhra pradesh|guntur|zaid|deep black cotton soil (vertisols)
Andhra Pradesh,Kakinada,Kharif,Deltaic Alluvial / Coastal Sandy,6.2,7.6,"Paddy, Sugarcane, Coconut, Maize",andhra pradesh|kakinada|kharif|deltaic alluvial / coastal sandy
Andhra Pradesh,Kakinada,Rabi,Deltaic Alluvial / Coastal Sandy,6.2,7.6,"Paddy, Blackgram, Greengram, Groundnut",andhra pradesh|kakinada|rabi|deltaic alluvial / coastal sandy
Andhra Pradesh,Kakinada,Zaid,Deltaic Alluvial / Coastal Sandy,6.2,7.6,"Sesamum, Vegetables, Cucurbits, Watermelon",andhra pradesh|kakinada|zaid|deltaic alluvial / coastal sandy
Andhra Pradesh,Konaseema,Kharif,Rich Deltaic Alluvial / Silt Clay,6.0,7.4,"Paddy, Coconut, Banana, Turmeric",andhra pradesh|konaseema|kharif|rich deltaic alluvial / silt clay
Andhra Pradesh,Konaseema,Rabi,Rich Deltaic Alluvial / Silt Clay,6.0,7.4,"Paddy, Pulses (Blackgram, Greengram), Maize",andhra pradesh|konaseema|rabi|rich deltaic alluvial / silt clay
Andhra Pradesh,Konaseema,Zaid,Rich Deltaic Alluvial / Silt Clay,6.0,7.4,"Sesamum, Vegetables, Cowpea, Watermelon",andhra pradesh|konaseema|zaid|rich deltaic alluvial / silt clay
Andhra Pradesh,Krishna,Kharif,Krishna Deltaic Alluvial / Heavy Black Soil,6.8,8.2,"Paddy, Sugarcane, Cotton, Maize",andhra pradesh|krishna|kharif|krishna deltaic alluvial / heavy black soil
Andhra Pradesh,Krishna,Rabi,Krishna Deltaic Alluvial / Heavy Black Soil,6.8,8.2,"Blackgram, Greengram, Maize, Groundnut, Tobacco",andhra pradesh|krishna|rabi|krishna deltaic alluvial / heavy black soil
Andhra Pradesh,Krishna,Zaid,Krishna Deltaic Alluvial / Heavy Black Soil,6.8,8.2,"Sesamum, Watermelon, Vegetables, Fodder Crops",andhra pradesh|krishna|zaid|krishna deltaic alluvial / heavy black soil
Andhra Pradesh,Kurnool,Kharif,Black Cotton Soil / Red Loam,7.5,8.8,"Cotton, Groundnut, Castor, Onion, Redgram, Maize",andhra pradesh|kurnool|kharif|black cotton soil / red loam
Andhra Pradesh,Kurnool,Rabi,Black Cotton Soil / Red Loam,7.5,8.8,"Bengal Gram, Sorghum, Sunflower, Groundnut",andhra pradesh|kurnool|rabi|black cotton soil / red loam
Andhra Pradesh,Kurnool,Zaid,Black Cotton Soil / Red Loam,7.5,8.8,"Watermelon, Muskmelon, Fodder Sorghum, Vegetables",andhra pradesh|kurnool|zaid|black cotton soil / red loam
Andhra Pradesh,Nandyal,Kharif,Deep Black Cotton Soil / Calcareous Loam,7.2,8.6,"Cotton, Paddy, Maize, Turmeric, Redgram",andhra pradesh|nandyal|kharif|deep black cotton soil / calcareous loam
Andhra Pradesh,Nandyal,Rabi,Deep Black Cotton Soil / Calcareous Loam,7.2,8.6,"Bengal Gram, Sorghum, Sunflower, Wheat, Tobacco",andhra pradesh|nandyal|rabi|deep black cotton soil / calcareous loam
Andhra Pradesh,Nandyal,Zaid,Deep Black Cotton Soil / Calcareous Loam,7.2,8.6,"Watermelon, Vegetables, Fodder Maize, Muskmelon",andhra pradesh|nandyal|zaid|deep black cotton soil / calcareous loam
Andhra Pradesh,NTR,Kharif,Alluvial Loam / Red Clay Mixed,6.5,8.0,"Paddy, Cotton, Sugarcane, Maize, Mango",andhra pradesh|ntr|kharif|alluvial loam / red clay mixed
